10:54:58 PIT >> INFO : Verbose logging is disabled. If you encounter a problem, please enable it before reporting an issue.
10:54:58 PIT >> INFO : Created 1 mutation test units in pre scan
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : MINION : WARNING: Unknown module: org.jgrapht.core specified to --add-opens
10:54:58 PIT >> INFO : Sending 36 test classes to minion
10:54:58 PIT >> INFO : Sent tests to minion
10:55:05 PIT >> INFO : Calculated coverage in 7 seconds.
10:55:05 PIT >> INFO : Created 1 mutation test units
10:55:51 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
10:56:38 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
10:57:04 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
10:57:21 PIT >> WARNING : Minion exited abnormally due to MEMORY_ERROR
10:57:49 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
10:58:14 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
10:58:36 PIT >> WARNING : Minion exited abnormally due to MEMORY_ERROR
10:58:52 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
10:59:29 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:00:02 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:01:03 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:01:25 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:02:07 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:02:45 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:03:09 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:03:35 PIT >> WARNING : Minion exited abnormally due to MEMORY_ERROR
11:04:08 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:04:23 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:04:43 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:05:15 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:05:51 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:06:17 PIT >> WARNING : Minion exited abnormally due to MEMORY_ERROR
11:06:32 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:06:50 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:07:10 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:07:36 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:08:08 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:08:34 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:09:32 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:10:12 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:10:39 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:11:14 PIT >> WARNING : Minion exited abnormally due to MEMORY_ERROR
11:11:48 PIT >> WARNING : Minion exited abnormally due to MEMORY_ERROR
11:12:09 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:12:24 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:13:05 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:13:35 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:14:00 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:14:41 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
11:15:04 PIT >> WARNING : Minion exited abnormally due to TIMED_OUT
