mutatedClass,mutatedMethod,lineNumber,mutator,numKillingTests,numSelectedTests,safe
org.springframework.samples.petclinic.owner.PetController,findOwner,68,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,6,10,True
org.springframework.samples.petclinic.owner.PetController,findPet,75,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,6,10,True
org.springframework.samples.petclinic.owner.PetController,findPet,76,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,6,10,True
org.springframework.samples.petclinic.owner.PetController,findPet,82,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,4,10,True
org.springframework.samples.petclinic.owner.PetController,initCreationForm,99,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,1,True
org.springframework.samples.petclinic.owner.PetController,initPetBinder,92,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,3,10,True
org.springframework.samples.petclinic.owner.PetController,initUpdateForm,126,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,1,True
org.springframework.samples.petclinic.owner.PetController,processCreationForm,106,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,1,5,True
org.springframework.samples.petclinic.owner.PetController,processCreationForm,106,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,1,5,True
org.springframework.samples.petclinic.owner.PetController,processCreationForm,106,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,1,5,True
org.springframework.samples.petclinic.owner.PetController,processCreationForm,110,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,1,5,True
org.springframework.samples.petclinic.owner.PetController,processCreationForm,110,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,1,5,True
org.springframework.samples.petclinic.owner.PetController,processCreationForm,114,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,4,5,True
org.springframework.samples.petclinic.owner.PetController,processCreationForm,107,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,1,5,True
org.springframework.samples.petclinic.owner.PetController,processCreationForm,111,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,1,5,True
org.springframework.samples.petclinic.owner.PetController,processCreationForm,115,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,4,5,True
org.springframework.samples.petclinic.owner.PetController,processCreationForm,121,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,5,True
org.springframework.samples.petclinic.owner.PetController,processUpdateForm,148,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,2,3,True
org.springframework.samples.petclinic.owner.PetController,processUpdateForm,149,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,2,3,True
org.springframework.samples.petclinic.owner.PetController,processUpdateForm,154,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,3,True
org.springframework.samples.petclinic.owner.OwnerController,addPaginationModel,124,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,1,True
org.springframework.samples.petclinic.owner.OwnerController,findOwner,64,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,7,13,True
org.springframework.samples.petclinic.owner.OwnerController,findOwner,64,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,11,13,True
org.springframework.samples.petclinic.owner.OwnerController,findPaginatedForOwnersLastName,130,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,3,3,True
org.springframework.samples.petclinic.owner.OwnerController,initCreationForm,72,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,1,True
org.springframework.samples.petclinic.owner.OwnerController,initFindForm,89,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,1,True
org.springframework.samples.petclinic.owner.OwnerController,initUpdateOwnerForm,135,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,1,True
org.springframework.samples.petclinic.owner.OwnerController,processCreationForm,77,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,1,2,True
org.springframework.samples.petclinic.owner.OwnerController,processCreationForm,79,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,2,True
org.springframework.samples.petclinic.owner.OwnerController,processCreationForm,84,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,1,2,True
